screen_name,type,category,created_at,followers_count,location,loc_cod,loc_type,description
elvicunense,np,Generalista,2013-04-09 00:43:29+00:00,923,Vicuna - Chile,4106,local,"Diario Electronico de la Comuna de Vicuna, perteneciente a la Red de Diarios Comunales http://t.co/ohoiO5TodX"
elovallino,np,Generalista,2010-01-07 16:18:18+00:00,8503,Ovalle • IV Region • Chile,4301,local,Somos el diario mas representativo de la zona. Estamos comprometidos con el desarrollo de nuestra gente y ciudad. Sentimos Pasion por el Limari...
elboyaldia,np,Generalista,2010-03-22 16:30:47+00:00,9785,Iquique,1101,local,El primer diario digital de #Iquique y #Tarapaca. Parte de la red de diarios ciudadanos de @RedMiVoz #LaRegionEsTuya
cooperativa,rad,Generalista,2007-07-23 22:31:14+00:00,2132848,"Santiago, Chile",13119,nacional,Actualidad Online. Siguenos tambien en https://t.co/OH2JZ3kKye
canal_13c,tv,Cultura,2012-05-07 16:20:39+00:00,47226,,13123,nacional,"Somos un canal cultural chileno, que mira al mundo desde lo local. Somos Cultura Con Otros Ojos. ¡Comenta con #13C! Twitter oficial de 13C."
33temuco,tv,Generalista,2014-12-31 01:56:48+00:00,128,Manuel Montt 248. Temuco,9101,local,
diariodeaysen,np,Generalista,2013-04-04 15:58:55+00:00,2756,"Aysen, Chile",11201,local,
austral_osorno,np,Generalista,2009-09-25 17:47:44+00:00,18722,Chile,10301,local,"El Austral, el Diario de Osorno."
radioportalesv,rad,Musica y Noticias,2010-02-05 21:13:26+00:00,20790,"Condell 1190, Valparaiso.",5101,local,Desde 1960 acompanando a las familias de la V region. Radioemisora AUTÉNTICAMENTE PORTEÑA /89.5 fm/ 840 am #LaPrimeraDeChile
t13,tv,Generalista,2009-03-17 20:54:09+00:00,2387966,"Santiago, Chile",13123,nacional,Cuenta oficial de las plataformas informativas del Departamento de Prensa de Canal 13.
diarioelcomunal,np,Generalista,2010-10-05 02:27:33+00:00,354,"La Higuera, Chile",4104,local,"Diario Electronico Comuna de La Higuera, perteneciente a Red de Diarios Comunales http://t.co/6p8o8X64Mu"
sabrosia,mag,Gastronomia,2012-03-29 19:19:04+00:00,8048,,13123,nacional,Cualquiera puede cocinar.
bolido_com,mag,Automotriz,2010-10-15 17:08:35+00:00,4179,,13123,nacional,Corazon de piston.
hoyxhoycl,np,Generalista,2012-09-24 19:42:53+00:00,78196,Santiago de Chile,13123,local,El diario que no tiene precio.
40chileoficial,rad,Musica,2010-08-02 16:28:45+00:00,203977,Eliodoro Yanez #1783,13123,nacional,La radio de los exitos.
el_bulnensino,np,Generalista,2011-07-10 21:49:00+00:00,881,Bulnes ,8402,local,"Diario Electronico de Bulnes, Provincia de Ñuble, Chile"
